NIN	N IN
FA	F A
BAI	B AI
YIN	Y IN
DE	D E
SHEN	SH EN
TAN	T AN
PAO	P AO
WENG	W ENG
LAN	L AN
CHUAN	CH U AN
SEI	S EI
DANG	D ANG
XUE	X VE
YUAN	Y V AN
HU	H U
CUAN	C U AN
BO	B O
SHAI	SH AI
CHUI	CH UI
SHOU	SH OU
QIU	Q IU
SONG	S ONG
KAI	K AI
LING	L ING
SUO	S U O
ZHUAI	ZH U AI
ZHEN	ZH EN
GENG	G ENG
YAN	Y AN
CU	C U
ZHUA	ZH U A
MA	M A
SOU	S OU
GOU	G OU
PU	P U
GUA	G U A
RONG	R ONG
JIAN	J I AN
FOU	F OU
FO	F O
ZHUAN	ZH U AN
DIU	D IU
TIAN	T I AN
QUN	Q VN
NE	N E
LIN	L IN
QIE	Q IE
LANG	L ANG
CAO	C AO
PANG	P ANG
GAN	G AN
KUI	K UI
ROU	R OU
NING	N ING
NOU	N OU
CUI	C UI
NA	N A
MING	M ING
JUAN	J V AN
NIAN	N I AN
JIONG	J I ONG
LE	L E
GEN	G EN
CHUO	CH U O
SANG	S ANG
MANG	M ANG
GANG	G ANG
SHENG	SH ENG
KENG	K ENG
ANG	^ ANG
ZHONG	ZH ONG
PEI	P EI
LO	L O
BEN	B EN
SAN	S AN
WAI	W AI
BA	B A
ZEI	Z EI
BANG	B ANG
MENG	M ENG
HA	H A
SHAO	SH AO
RENG	R ENG
XUAN	X V AN
GUAI	G U AI
QUAN	Q V AN
DIE	D IE
CEN	C EN
QIONG	Q I ONG
QIAO	Q I AO
NAN	N AN
CANG	C ANG
NANG	N ANG
LA	L A
KU	K U
KAO	K AO
XI	X I
MO	M O
CHAN	CH AN
DUO	D U O
DIAO	D I AO
HUN	H UN
LOU	L OU
HANG	H ANG
CENG	C ENG
ZHI	ZH I
RUAN	R U AN
QIANG	Q I ANG
MIU	M IU
WO	W O
GEI	G EI
EI	^ EI
CHAI	CH AI
ZHUI	ZH UI
CHU	CH U
YONG	Y ONG
SHUO	SH U O
DING	D ING
CHE	CH E
YO	Y O
PENG	P ENG
RANG	R ANG
BU	B U
NIU	N IU
KE	K E
MI	M I
GUAN	G U AN
RE	R E
NI	N I
TI	T I
DIA	D I A
NUO	N U O
WANG	W ANG
QIAN	Q I AN
LUO	L U O
YA	Y A
CI	C I
GUN	G UN
GAO	G AO
DOU	D OU
DAI	D AI
BAO	B AO
BIN	B IN
NAI	N AI
SE	S E
PA	P A
ZAO	Z AO
AO	^ AO
NIE	N IE
BENG	B ENG
ZHU	ZH U
JU	J V
XIU	X IU
XIAN	X I AN
RUI	R UI
SAI	S AI
SHUANG	SH U ANG
SHUAI	SH U AI
HEN	H EN
OU	^ OU
HUA	H U A
LONG	L ONG
ZI	Z I
SHE	SH E
JUN	J VN
YE	Y E
TUI	T UI
GUANG	G U ANG
MAN	M AN
LAI	L AI
ZHUN	ZH UN
CHUANG	CH U ANG
ZUI	Z UI
SU	S U
TE	T E
TAO	T AO
CONG	C ONG
TONG	T ONG
HENG	H ENG
ZUO	Z U O
LU	L U
BAN	B AN
PIAO	P I AO
XIANG	X I ANG
LIANG	L I ANG
ZU	Z U
NIANG	N I ANG
LIU	L IU
BIE	B IE
CHA	CH A
YANG	Y ANG
LVE	L VE
LENG	L ENG
KOU	K OU
AN	^ AN
CHUN	CH UN
ZAI	Z AI
DONG	D ONG
SHI	SH I
CHAO	CH AO
ZHAI	ZH AI
RI	R I
HUAI	H U AI
TOU	T OU
SENG	S ENG
GUO	G U O
NENG	N ENG
ZUN	Z UN
XIONG	X I ONG
ZEN	Z EN
TANG	T ANG
BIAN	B I AN
QU	Q V
QI	Q I
ZHAN	ZH AN
JIAO	J I AO
CHENG	CH ENG
CHONG	CH ONG
KEI	K EI
MEI	M EI
LV	L V
SHUA	SH U A
CA	C A
DENG	D ENG
TING	T ING
YAO	Y AO
TIAO	T I AO
ME	M E
CE	C E
ZUAN	Z U AN
SEN	S EN
O	^ O
ZENG	Z ENG
RAO	R AO
WEI	W EI
KUAN	K U AN
PING	P ING
MAI	M AI
HUAN	H U AN
DEN	D EN
BING	B ING
QING	Q ING
PIN	P IN
GAI	G AI
LI	L I
ZHENG	ZH ENG
ZAN	Z AN
BEI	B EI
SHU	SH U
MU	M U
KUO	K U O
JIE	J IE
CHUAI	CH U AI
FAN	F AN
PI	P I
SHUI	SH UI
YING	Y ING
QIN	Q IN
SHA	SH A
KANG	K ANG
CHEN	CH EN
JIANG	J I ANG
RAN	R AN
LUAN	L U AN
HEI	H EI
XING	X ING
WAN	W AN
TA	T A
XU	X V
TENG	T ENG
ZA	Z A
KEN	K EN
DAN	D AN
TU	T U
KUANG	K U ANG
JING	J ING
REN	R EN
CHOU	CH OU
KUA	K U A
HE	H E
DAO	D AO
NEI	N EI
KUAI	K U AI
HAO	H AO
MIAO	M I AO
YI	Y I
ZHAO	ZH AO
TUO	T U O
ZHEI	ZH EI
FU	F U
FEN	F EN
JIA	J I A
WA	W A
CUO	C U O
WU	W U
MEN	M EN
XUN	X VN
MOU	M OU
SHAN	SH AN
PAI	P AI
GONG	G ONG
NONG	N ONG
COU	C OU
KONG	K ONG
HUO	H U O
HUANG	H U ANG
JIU	J IU
HONG	H ONG
MIE	M IE
HUI	H UI
WEN	W EN
ZHUO	ZH U O
MIAN	M I AN
BI	B I
ZE	Z E
YUN	Y VN
GA	G A
SUAN	S U AN
SUN	S UN
MAO	M AO
XIA	X I A
KA	K A
NAO	N AO
TIE	T IE
GE	G E
GUI	G UI
LAO	L AO
ZOU	Z OU
SAO	S AO
PO	P O
JIN	J IN
DUAN	D U AN
DU	D U
RUN	R UN
YUE	Y VE
DUN	D UN
A	^ A
PIE	P IE
SHANG	SH ANG
XIN	X IN
CAN	C AN
PAN	P AN
LIE	L IE
QIA	Q I A
GU	G U
ZHE	ZH E
ZONG	Z ONG
DIAN	D I AN
LIA	L I A
FENG	F ENG
JUE	J VE
LIAO	L I AO
SA	S A
TAI	T AI
LEI	L EI
SHUN	SH UN
HAI	H AI
NEN	N EN
MIN	M IN
PIAN	P I AN
CHI	CH I
CHANG	CH ANG
NIAO	N I AO
JI	J I
TEI	T EI
FANG	F ANG
POU	P OU
QUE	Q VE
ZHOU	ZH OU
NV	N V
ER	^ ER
YU	Y V
XIE	X IE
FAI	F AI
EN	^ EN
NVE	N VE
KAN	K AN
LUN	L UN
ZHUANG	ZH U ANG
HAN	H AN
NG	N EN
DI	D I
SHEI	SH EI
RUO	R U O
KUN	K UN
DUI	D UI
TUAN	T U AN
ZANG	Z ANG
CUN	C UN
YOU	Y OU
SUI	S UI
DEI	D EI
RU	R U
NU	N U
ZHANG	ZH ANG
BIAO	B I AO
NUAN	N U AN
SHUAN	SH U AN
XIAO	X I AO
TUN	T UN
E	^ E
SI	S I
HOU	H OU
FEI	F EI
ZHA	ZH A
CAI	C AI
KIU	K IU
DA	D A
PEN	P EN
LIAN	L I AN
AI	^ AI
