mel	output	text
mels/LJ022-0023.pt	001_the_overwhelming_majority_of_people_in.wav	The overwhelming majority of people in this country know how to sift the wheat from the chaff in what they hear and what they read.
mels/LJ043-0030.pt	002_if_somebody_did_that_to_me,.wav	If somebody did that to me, a lousy trick like that, to take my wife away, and all the furniture, I would be mad as hell, too.
mels/LJ005-0201.pt	003_as_is_shown_by_the_report.wav	as is shown by the report of the Commissioners to inquire into the state of the municipal corporations in eighteen thirty-five.
mels/LJ001-0110.pt	004_even_the_caslon_type_when_enlarged.wav	Even the Caslon type when enlarged shows great shortcomings in this respect:
mels/LJ003-0345.pt	005_all_the_committee_could_do_in.wav	All the committee could do in this respect was to throw the responsibility on others.
mels/LJ007-0154.pt	006_these_pungent_and_well-grounded_strictures_applied.wav	These pungent and well-grounded strictures applied with still greater force to the unconvicted prisoner, the man who came to the prison innocent, and still uncontaminated,
mels/LJ018-0098.pt	007_and_recognized_as_one_of_the.wav	and recognized as one of the frequenters of the bogus law-stationers. His arrest led to that of others.
mels/LJ047-0044.pt	008_oswald_was,_however,_willing_to_discuss.wav	Oswald was, however, willing to discuss his contacts with Soviet authorities. He denied having any involvement with Soviet intelligence agencies
mels/LJ031-0038.pt	009_the_first_physician_to_see_the.wav	The first physician to see the President at Parkland Hospital was Dr. Charles J. Carrico, a resident in general surgery.
mels/LJ048-0194.pt	010_during_the_morning_of_november_twenty-two.wav	during the morning of November twenty-two prior to the motorcade.
